Branch,Date,Sales,Profit
Branch A,09-09-2024,764.0,-5.831462474346409
Branch A,11-12-2023,159.0,139.01798250230632
Branch A,04-05-2024,160.0,74.90743326190223
Branch A,08-29-2024,844.0,192.3234273419917
Branch A,01-08-2024,546.0,-9.611264063493607
Branch A,05-02-2024,659.0,16.32352797713311
Branch A,12-15-2023,721.0,-9.39674520970739
Branch A,04-07-2024,,44.04403323491229
Branch A,03-23-2024,237.0,-12.54317559717478
Branch A,11-19-2023,562.0,8.336859657679824
Branch A,06-20-2024,449.0,-28.04563535383855
Branch A,05-10-2024,442.0,174.77657847856256
Branch A,07-12-2024,464.0,99.8306338816608
Branch A,12-08-2023,408.0,118.49411393154772
Branch A,12-08-2023,392.0,184.5762984054288
Branch A,05-21-2024,283.0,181.7396280774519
Branch A,10-15-2023,455.0,80.5814534669936
Branch A,01-13-2024,964.0,77.82289948930487
Branch A,09-26-2024,788.0,85.88441122032754
Branch A,09-16-2024,645.0,74.65976636461174
Branch A,01-19-2024,767.0,108.36165452314472
Branch A,01-06-2024,487.0,195.8290948264085
Branch A,03-22-2024,865.0,8.174741590812289
Branch A,01-29-2024,165.0,33.092806008331166
Branch A,05-16-2024,168.0,95.26629048672454
Branch A,07-05-2024,418.0,180.40877393628338
Branch A,01-21-2024,401.0,19.868886346238924
Branch A,10-15-2023,813.0,-10.603746450051887
Branch A,04-15-2024,396.0,121.13538943513707
Branch A,10-31-2023,370.0,94.93901071349894
Branch A,03-10-2024,650.0,100.91898625937563
Branch A,02-23-2024,676.0,190.43526118265981
Branch A,09-09-2024,842.0,117.55656052479804
Branch A,06-19-2024,679.0,-8.80729469784734
Branch A,09-25-2024,636.0,205.12612291288502
Branch A,01-19-2024,311.0,178.07669633529645
